[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[314] pstFrameInfo->nFrameNum[316]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[317] pstFrameInfo->nFrameNum[319]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[319] pstFrameInfo->nFrameNum[321]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[322] pstFrameInfo->nFrameNum[324]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[324] pstFrameInfo->nFrameNum[326]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[327] pstFrameInfo->nFrameNum[329]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[330] pstFrameInfo->nFrameNum[332]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[332] pstFrameInfo->nFrameNum[334]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[335] pstFrameInfo->nFrameNum[337]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[337] pstFrameInfo->nFrameNum[339]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[340] pstFrameInfo->nFrameNum[344]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[344] pstFrameInfo->nFrameNum[347]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[347] pstFrameInfo->nFrameNum[349]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[349] pstFrameInfo->nFrameNum[351]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[351] pstFrameInfo->nFrameNum[353]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[354] pstFrameInfo->nFrameNum[357]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[357] pstFrameInfo->nFrameNum[359]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[360] pstFrameInfo->nFrameNum[362]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[363] pstFrameInfo->nFrameNum[365]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[366] pstFrameInfo->nFrameNum[368]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[368] pstFrameInfo->nFrameNum[370]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[371] pstFrameInfo->nFrameNum[373]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[373] pstFrameInfo->nFrameNum[375]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[376] pstFrameInfo->nFrameNum[379]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[380] pstFrameInfo->nFrameNum[388]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[388] pstFrameInfo->nFrameNum[390]
[2018-11-25 16:15:23] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:23] |    StreamProcess.cpp-L0541: nFrameNum[390] pstFrameInfo->nFrameNum[392]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[392] pstFrameInfo->nFrameNum[395]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[395] pstFrameInfo->nFrameNum[397]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[398] pstFrameInfo->nFrameNum[400]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[401] pstFrameInfo->nFrameNum[403]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[403] pstFrameInfo->nFrameNum[405]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[406] pstFrameInfo->nFrameNum[408]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[408] pstFrameInfo->nFrameNum[410]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[410] pstFrameInfo->nFrameNum[412]
[2018-11-25 16:15:24] |    StreamProcess.cpp-L1471: delete one DataNode
[2018-11-25 16:15:24] |    StreamProcess.cpp-L0541: nFrameNum[412] pstFrameInfo->nFrameNum[414]
